Section,Feature,Somon.tj,Paydo.tj,Oriyon.store,Alon.tj,Savdo.tj,Alif Shop,LakLak,Telegram/FB,Notes
General,Platform type,C2C classifieds,C2C classifieds,C2C marketplace,C2C classifieds,C2C + video,B2C store,E-commerce,Informal groups,
General,Launch year,~2014,2025,2024-2025,2026-02,2022-12,2017,2023,,
General,Listings / products count,360000+,80000+ (RE only),Low,Low,Medium,20000+ SKU,50000+ SKU,,
General,Monthly traffic / users,1000000+/month,100000+ (launch),Low,Low,Medium,High,Medium,,
General,Brand awareness,86%,Growing,Low,Low,Medium,High,Medium,,
General,Top of Mind,54%,Unknown,No,No,No,Unknown,No,,
General,Native mobile app,Yes iOS+Android,Yes Android,No,Planned Android,Yes iOS+Android,Yes,Yes,Yes Telegram,
General,Web version,Yes,Yes,Yes,Yes,Partial,Yes,Yes,No,
Languages & Geography,Russian language,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Languages & Geography,Tajik language (tojikī),Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,
Languages & Geography,English language,Partial,Unknown,No,No,Yes,No,No,No,
Languages & Geography,All cities in Tajikistan,Yes,Partial,No (2 cities only),Yes,Partial,Yes,Yes,Yes,
Languages & Geography,Dushanbe districts,Yes,Yes,Yes detailed,Unknown,Partial,Yes,Yes,Yes,
Languages & Geography,Khujand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Languages & Geography,Regional cities (Kulob Khorog etc),Yes,Partial,No,Yes,Partial,Yes,Yes,Yes,
Languages & Geography,Geolocation / map,Partial,Yes,Partial,Unknown,Partial,Yes,Yes,No,
Categories,Real estate,Yes,Yes,Yes,Yes,Yes,No,No,
Categories,Auto / transport,Yes,Yes,Yes,Yes,Yes,Yes new only,No,
Categories,Phones / electronics,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Categories,Furniture,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Categories,Home appliances,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Categories,Services,Yes,Yes,Yes,Yes,Yes,No,Yes,
Categories,Repair / building materials,Yes,Partial,Yes,Yes,Yes,Yes,Yes,
Categories,Jobs / vacancies,Yes strong,Yes,No,Planned,Yes,No,No,
Categories,Clothing / cosmetics,Yes,Partial,No,Yes,Yes,Yes,Yes,
Categories,Food / groceries,Partial,No,No,No,No,No,Yes Fresh,
Categories,New goods B2C,Partial,No,No,No,No,Yes strong,Yes strong,
Listings & Search,Free listing,Yes,Yes,Yes,Yes,Yes,No,No,
Listings & Search,Photo uploads,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Listings & Search,Video listings,No,No,No,No,Yes TikTok-style,No,No,
Listings & Search,Smart filters,Yes,Yes,Yes,Partial,Yes,Yes,Yes,
Listings & Search,Search suggestions,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,
Listings & Search,Saved searches,Yes,Unknown,Yes,No,Yes,No,No,
Listings & Search,Personal recommendations,Yes,Yes,Yes,No,No,Yes,Yes,
Listings & Search,Compare listings,No,Yes,Yes RE only,No,No,No,No,
Listings & Search,Favorites,Yes,Yes,Yes,Partial,Yes,Yes,Yes,
Listings & Search,Barter / exchange,Partial,Yes,No,No,No,No,No,
